3,Kentucky,SEC,30,7,.811,,15,3,.833,,75.8,64.7,,21.43,10.29
4,Auburn,SEC,30,10,.750,,11,7,.611,,79.1,69.2,,20.84,10.92
6,Mississippi St.,SEC,23,11,.676,,10,8,.556,,77.3,70.4,,15.96,9.07
7,Ole Miss,SEC,20,13,.606,,10,8,.556,,75.3,71.1,,12.32,8.13
8,Florida,SEC,20,16,.556,,9,9,.500,,67.8,63.6,,15.42,11.22
1,Gonzaga,WCC,33,4,.892,,16,0,1.000,,87.6,64.9,,27.79,5.01
2,Saint Marys (CA),WCC,22,12,.647,,11,5,.688,,72.4,64.3,,12.58,4.40
1,New Mexico St.,WAC,30,5,.857,,15,1,.938,,77.6,65.2,,10.05,-2.38
1,Prairie View,SWAC,22,13,.629,,17,1,.944,,74.9,73.0,,-7.29,-9.17
1,Georgia St.,Sun Belt,24,10,.706,,13,5,.722,,75.2,73.4,,2.44,0.65
4,North Dakota St.,Summit,19,16,.543,,9,7,.563,,72.2,74.1,,-4.01,-2.07
2,Abilene Christian,Southland,27,7,.794,,14,4,.778,,70.8,65.4,,-1.91,-7.34
1,Colgate,Patriot,24,11,.686,,13,5,.722,,75.4,70.3,,1.23,-3.83
1,Fairleigh Dickinson,NEC,21,14,.600,,12,6,.667,,74.2,73.0,,-6.09,-7.24
5,Bradley,MVC,20,15,.571,,9,9,.500,,66.3,65.5,,-0.08,-0.90
1,Buffalo,MAC (East),32,4,.889,,16,2,.889,,84.2,71.3,,15.56,2.62
1,Northern Ky.,Horizon,26,9,.743,,13,5,.722,,77.2,70.1,,4.67,-2.39
1,Old Dominion,CUSA,26,9,.743,,13,5,.722,,65.7,60.8,,3.74,-1.18
1,Villanova,Big East,26,10,.722,,13,5,.722,,73.7,67.4,,14.33,7.97
2,Marquette,Big East,24,10,.706,,12,6,.667,,77.3,69.5,,14.78,6.96
3,Seton Hall,Big East,20,14,.588,,9,9,.500,,73.8,71.9,,10.25,8.34
7,St. Johns (NY),Big East,21,13,.618,,8,10,.444,,77.1,74.8,,7.88,5.50
