2,Cleveland St.,Horizon,19,8,.704,,16,4,.800,,70.9,71.2,,-5.12,-4.82
3,Iona,MAAC,12,6,.667,,6,3,.667,,71.3,66.1,,-1.20,-6.42
4,Ohio,MAC (East),17,8,.680,,9,5,.643,,78.7,72.6,,5.48,-0.57
2,Norfolk St.,MEAC,17,8,.680,,8,4,.667,,73.3,71.0,,-6.16,-8.51
1,Loyola (IL),MVC,26,5,.839,,16,2,.889,,70.1,56.4,,15.12,1.37
2,Drake,MVC,26,5,.839,,15,3,.833,,74.7,64.8,,9.42,-0.48
3,Utah St.,MWC,20,9,.690,,13,4,.765,,72.0,62.3,,10.99,1.32
1,San Diego St.,MWC,23,5,.821,,14,3,.824,,73.3,61.9,,14.36,2.99
3,Mount St. Marys,NEC,12,11,.522,,9,7,.563,,63.2,62.2,,-5.67,-6.67
2,Morehead St.,OVC,23,8,.742,,17,3,.850,,68.1,64.7,,-0.95,-4.33
1,Oregon,Pac-12,21,7,.750,,14,4,.778,,74.9,68.4,,16.15,9.65
2,Southern California,Pac-12,25,8,.758,,15,5,.750,,74.9,65.1,,20.50,10.65
3,Colorado,Pac-12,23,9,.719,,14,6,.700,,73.1,63.8,,18.88,9.57
4,UCLA,Pac-12,22,10,.688,,13,6,.684,,73.4,68.4,,16.30,11.34
6,Oregon St.,Pac-12,20,13,.606,,10,10,.500,,69.1,68.4,,11.48,10.82
2,Colgate,Patriot,14,2,.875,,11,1,.917,,85.2,69.6,,13.66,-1.90
1,Alabama,SEC,26,7,.788,,16,2,.889,,79.7,70.1,,19.58,10.01
2,Arkansas,SEC,25,7,.781,,13,4,.765,,81.4,70.8,,17.80,7.18
3,LSU,SEC,19,10,.655,,11,6,.647,,81.8,75.2,,15.70,9.14
4,Tennessee,SEC,18,9,.667,,10,7,.588,,71.9,63.5,,16.87,8.46
5,Florida,SEC,15,10,.600,,9,7,.563,,74.2,70.3,,13.70,9.82
7,Missouri,SEC,16,10,.615,,8,8,.500,,73.4,71.9,,12.37,10.87
1,UNC Greensboro,Southern,21,9,.700,,13,5,.722,,73.0,67.3,,3.48,-2.15
2,Abilene Christian,Southland,24,5,.828,,13,2,.867,,74.2,61.6,,6.27,-6.37
4,Oral Roberts,Summit,18,11,.621,,10,5,.667,,78.9,77.2,,1.73,-0.04
7,Appalachian St.,Sun Belt,17,12,.586,,7,8,.467,,67.6,67.7,,-5.84,-5.72
3,Texas Southern,SWAC,17,9,.654,,10,3,.769,,72.7,69.8,,-6.15,-9.03
1,Grand Canyon,WAC,17,7,.708,,9,3,.750,,71.4,62.8,,5.11,-3.46
1,Gonzaga,WCC,31,1,.969,,15,0,1.000,,91.0,69.7,,27.20,5.92
2,BYU,WCC,20,7,.741,,10,3,.769,,77.0,69.0,,15.19,7.23
